2019-02-07 21:10:59-21:11:09  |    78 requests at   7.8rps  |   66% in /api         |   83% 200,  11% 404,   5% 500
2019-02-07 21:11:09-21:11:19  |    93 requests at   9.3rps  |   66% in /api         |   84% 200,   8% 404,   6% 500
2019-02-07 21:11:19-21:11:29  |    89 requests at   8.9rps  |   66% in /api         |   77% 200,  13% 404,   8% 500
2019-02-07 21:11:29-21:11:39  |    94 requests at   9.4rps  |   67% in /api         |   75% 200,  17% 404,   7% 500
2019-02-07 21:11:39-21:11:49  |    89 requests at   8.9rps  |   66% in /api         |   82% 200,  10% 500,   7% 404
2019-02-07 21:11:49-21:11:59  |    89 requests at   8.9rps  |   67% in /api         |   88% 200,   6% 404,   4% 500
2019-02-07 21:11:59-21:12:09  |   172 requests at  17.2rps  |   83% in /api         |   76% 200,  12% 500,  11% 404
2019-02-07 21:12:09-21:12:19  |   178 requests at  17.8rps  |   82% in /api         |   79% 200,  13% 500,   7% 404
2019-02-07 21:12:19-21:12:29  |   181 requests at  18.1rps  |   83% in /api         |   74% 200,  14% 500,  10% 404
2019-02-07 21:12:36 ALERT-----+------> average of  10.0rps over last 120 seconds exceeds threshold of   10.0rps <-------ALERT
2019-02-07 21:12:29-21:12:39  |   182 requests at  18.2rps  |   82% in /api         |   76% 200,  15% 404,   7% 500
2019-02-07 21:12:39-21:12:49  |   178 requests at  17.8rps  |   84% in /api         |   79% 200,  15% 500,   5% 404
2019-02-07 21:12:49-21:12:59  |   178 requests at  17.8rps  |   82% in /api         |   76% 200,  14% 500,   8% 404
2019-02-07 21:12:59-21:13:09  |    46 requests at   4.6rps  |   73% in /api         |   80% 200,  10% 404,   8% 500
2019-02-07 21:13:09-21:13:19  |    30 requests at   3.0rps  |   66% in /api         |   86% 200,  10% 404,   3% 500
2019-02-07 21:13:19-21:13:29  |    29 requests at   2.9rps  |   65% in /api         |   93% 200,   6% 404
2019-02-07 21:13:29-21:13:39  |    32 requests at   3.2rps  |   65% in /api         |   81% 200,  18% 404
2019-02-07 21:13:39-21:13:49  |    29 requests at   2.9rps  |   68% in /api         |   75% 200,  13% 500,  10% 404
2019-02-07 21:13:49-21:13:59  |    30 requests at   3.0rps  |   70% in /api         |   86% 200,   6% 500,   6% 404
2019-02-07 21:14:03 RECOVERY--+------> average of  10.0rps over last 120 seconds is below threshold of  10.0rps <----RECOVERY
2019-02-07 21:13:59-21:14:09  |    29 requests at   2.9rps  |   62% in /api         |   72% 200,  17% 500,  10% 404
2019-02-07 21:14:09-21:14:19  |    32 requests at   3.2rps  |   68% in /api         |   84% 200,  12% 500,   3% 404
2019-02-07 21:14:19-21:14:29  |    28 requests at   2.8rps  |   67% in /api         |   67% 200,  17% 500,  14% 404
2019-02-07 21:14:29-21:14:39  |    30 requests at   3.0rps  |   63% in /api         |   83% 200,  13% 500,   3% 404
2019-02-07 21:14:39-21:14:49  |    30 requests at   3.0rps  |   66% in /api         |   80% 200,  10% 500,  10% 404
2019-02-07 21:14:49-21:14:59  |    31 requests at   3.1rps  |   67% in /api         |   87% 200,   6% 500,   6% 404
2019-02-07 21:14:59-21:15:09  |    29 requests at   2.9rps  |   65% in /api         |   75% 200,  13% 404,  10% 500
2019-02-07 21:15:09-21:15:19  |    31 requests at   3.1rps  |   67% in /api         |   93% 200,   3% 500,   3% 404
2019-02-07 21:15:19-21:15:29  |    32 requests at   3.2rps  |   68% in /api         |   71% 200,  15% 500,  12% 404
2019-02-07 21:15:29-21:15:39  |   249 requests at  24.9rps  |   89% in /api         |   78% 200,  12% 500,   9% 404
2019-02-07 21:15:39-21:15:49  |   283 requests at  28.3rps  |   89% in /api         |   79% 200,  12% 500,   8% 404
2019-02-07 21:15:49-21:15:59  |   279 requests at  27.9rps  |   89% in /api         |   78% 200,  11% 404,   9% 500
2019-02-07 21:16:03 ALERT-----+------> average of  10.0rps over last 120 seconds exceeds threshold of   10.0rps <-------ALERT
2019-02-07 21:15:59-21:16:09  |   280 requests at  28.0rps  |   89% in /api         |   82% 200,   9% 500,   8% 404
2019-02-07 21:16:09-21:16:19  |   284 requests at  28.4rps  |   89% in /api         |   78% 200,  11% 404,   9% 500
2019-02-07 21:16:19-21:16:29  |   279 requests at  27.9rps  |   88% in /api         |   80% 200,  10% 500,   8% 404
2019-02-07 21:16:29-21:16:39  |   278 requests at  27.8rps  |   90% in /api         |   84% 200,   7% 500,   7% 404
2019-02-07 21:16:39-21:16:49  |   282 requests at  28.2rps  |   88% in /api         |   80% 200,  10% 500,   8% 404
2019-02-07 21:16:49-21:16:59  |   281 requests at  28.1rps  |   88% in /api         |   84% 200,   8% 500,   7% 404
2019-02-07 21:16:59-21:17:09  |    44 requests at   4.4rps  |   75% in /api         |   79% 200,  15% 404,   4% 500
2019-02-07 21:17:09-21:17:19  |    21 requests at   2.1rps  |   52% in /report      |   85% 200,  14% 500
2019-02-07 21:17:19-21:17:29  |    20 requests at   2.0rps  |   50% in /report      |   85% 200,  15% 500
2019-02-07 21:17:29-21:17:39  |    18 requests at   1.8rps  |   50% in /report      |   77% 200,  22% 500
2019-02-07 21:17:39-21:17:49  |    22 requests at   2.2rps  |   50% in /report      |   72% 200,  18% 404,   9% 500
2019-02-07 21:17:49-21:17:59  |    19 requests at   1.9rps  |   52% in /api         |   63% 200,  31% 404,   5% 500
2019-02-07 21:17:59-21:18:09  |    18 requests at   1.8rps  |   50% in /report      |   83% 200,  11% 500,   5% 404
2019-02-07 21:18:09-21:18:19  |    22 requests at   2.2rps  |   50% in /report      |   90% 200,   9% 500
2019-02-07 21:18:22 RECOVERY--+------> average of  10.0rps over last 120 seconds is below threshold of  10.0rps <----RECOVERY
2019-02-07 21:18:19-21:18:29  |    19 requests at   1.9rps  |   52% in /api         |   68% 200,  26% 500,   5% 404
2019-02-07 21:18:29-21:18:39  |    20 requests at   2.0rps  |   50% in /report      |   85% 200,  10% 500,   5% 404
2019-02-07 21:18:39-21:18:49  |    22 requests at   2.2rps  |   54% in /report      |   72% 200,  22% 500,   4% 404
2019-02-07 21:18:49-21:18:59  |    20 requests at   2.0rps  |   55% in /api         |   85% 200,  10% 500,   5% 404
2019-02-07 21:18:59-21:19:09  |     1 requests at   0.1rps  |  100% in /report      |  100% 200
